Data downloaded from OMNIWeb and processed by omniweb_read.py

No AlphaRatio was considered

#TIMEDELAY
0.0

#START
 2024 10 09 00 51 00 000   -1.89     7.00    -5.82  -431.00    -29.50    -11.40    7.22    200363.0
 2024 10 09 00 52 00 000   -1.53     7.31    -5.54  -431.90    -28.90    -12.30    7.27    200307.0
 2024 10 09 00 53 00 000   -1.24     7.47    -5.32  -426.00    -29.50    -13.00    7.60    204506.0
 2024 10 09 00 54 00 000   -1.19     7.61    -5.15  -426.00    -29.50    -13.00    7.60    204506.0
 2024 10 09 00 55 00 000   -1.06     7.89    -4.71  -427.90    -29.40    -17.50    7.33    201082.0
 2024 10 09 00 56 00 000   -1.34     8.01    -4.32  -428.40    -29.40    -18.60    7.26    200237.0
 2024 10 09 00 57 00 000   -0.91     7.99    -4.59  -431.20    -28.00    -19.50    7.67    199960.0
 2024 10 09 00 58 00 000   -1.23     8.04    -4.17  -431.40    -27.80    -20.00    7.61    197220.0
 2024 10 09 00 59 00 000   -1.09     8.02    -4.33  -432.30    -26.90    -22.30    7.33    184814.0
 2024 10 09 01 00 00 000   -1.58     7.59    -5.05  -432.30    -26.90    -22.30    7.33    184814.0
 2024 10 09 01 01 00 000   -1.47     7.47    -5.23  -428.80    -29.70    -16.30    6.97    184948.0
 2024 10 09 01 02 00 000   -1.41     7.42    -4.88  -428.80    -29.70    -16.30    6.97    184948.0
 2024 10 09 01 03 00 000    0.71     8.13    -2.25  -436.50    -61.40    -32.30    8.07    235724.0
 2024 10 09 01 04 00 000    0.95     7.98    -0.76  -436.30    -60.40    -31.60    8.03    234692.0
 2024 10 09 01 05 00 000    1.31     7.90    -0.57  -431.40    -48.70    -21.50    7.54    222467.0
 2024 10 09 01 06 00 000    1.09     7.87    -0.75  -430.10    -53.90    -24.10    7.95    228649.0
 2024 10 09 01 07 00 000    1.58     7.27    -0.18  -435.70    -40.10    -26.10    7.20    207167.0
 2024 10 09 01 08 00 000    2.10     7.49     0.30  -435.80    -40.00    -26.30    7.17    206834.0
 2024 10 09 01 09 00 000    0.35     5.88    -2.26  -435.80    -40.00    -26.30    7.17    206834.0
 2024 10 09 01 10 00 000   -0.15     2.08    -3.60  -435.80    -40.00    -26.30    7.17    206834.0
 2024 10 09 01 11 00 000   -2.32     0.60    -5.44  -435.80    -40.00    -26.30    7.17    206834.0
 2024 10 09 01 12 00 000    0.74     2.28    -0.83  -435.80    -40.00    -26.30    7.17    206834.0
 2024 10 09 01 13 00 000    3.64     5.54     2.98  -455.40    -22.20    -46.20    7.92    201632.0
 2024 10 09 01 14 00 000    3.91     6.19     1.04  -455.40    -22.30    -46.20    7.92    201612.0
 2024 10 09 01 15 00 000    3.96     5.54     2.63  -460.20    -35.00    -49.10    8.03    198782.0
 2024 10 09 01 16 00 000    4.17     5.37     1.76  -461.20    -31.70    -48.70    8.11    200548.0
 2024 10 09 01 17 00 000    3.90     4.86     3.27  -465.60    -22.00    -52.50    8.13    190882.0
 2024 10 09 01 18 00 000    3.76     4.51     3.88  -462.40    -17.20    -61.30    7.78    196449.0
 2024 10 09 01 19 00 000    3.24     4.45     3.59  -460.70    -23.00    -49.40    7.93    178649.0
 2024 10 09 01 20 00 000    3.14     5.57     3.09  -454.60    -23.40    -51.00    8.14    222916.0
 2024 10 09 01 21 00 000    3.27     3.77     3.75  -457.00    -25.40    -49.90    7.90    210301.0
 2024 10 09 01 22 00 000    2.63     3.79     4.03  -463.60    -29.60    -51.40    8.51    224530.0
 2024 10 09 01 23 00 000    2.21     2.79     5.49  -463.60    -29.60    -51.40    8.51    224604.0
 2024 10 09 01 24 00 000    0.98     3.42     1.22  -463.60    -29.60    -51.40    8.51    224604.0
 2024 10 09 01 25 00 000    0.30     1.09     6.08  -463.60    -29.60    -51.40    8.51    224604.0
 2024 10 09 01 26 00 000    0.76     1.45     6.17  -463.60    -29.60    -51.40    8.51    224604.0
 2024 10 09 01 27 00 000    1.63     3.51     5.05  -444.80     -1.20    -56.00    8.70    236253.0
 2024 10 09 01 28 00 000    2.02     4.69     4.46  -444.80     -1.20    -56.00    8.70    236253.0
 2024 10 09 01 29 00 000    1.95     4.41     4.91  -444.80     -1.20    -56.00    8.70    236253.0
 2024 10 09 01 30 00 000    2.19     4.65     4.61  -444.80     -1.20    -56.00    8.70    236253.0
 2024 10 09 01 31 00 000    2.25     5.75     2.87  -446.30    -20.90    -50.30    8.10    222838.0
 2024 10 09 01 32 00 000    2.59     5.62     3.65  -450.50    -21.30    -52.80    8.05    217450.0
 2024 10 09 01 33 00 000    2.91     6.23     1.95  -452.80    -21.30    -54.40    7.99    213327.0
 2024 10 09 01 34 00 000    3.28     5.55     2.82  -456.40    -32.60    -52.70    7.72    207972.0
 2024 10 09 01 35 00 000    3.01     6.01     1.91  -455.90    -31.70    -52.60    7.74    210435.0
 2024 10 09 01 36 00 000    3.17     5.59     2.57  -454.80    -29.70    -52.30    7.80    216061.0
 2024 10 09 01 37 00 000    2.56     5.47     3.53  -453.50    -21.40    -59.20    7.61    207036.0
 2024 10 09 01 38 00 000    2.54     5.50     3.76  -453.20    -19.40    -60.80    7.57    204928.0
 2024 10 09 01 39 00 000    2.53     5.48     3.62  -449.90    -19.40    -59.70    7.86    211055.0
 2024 10 09 01 40 00 000    2.66     5.10     3.78  -449.70    -19.40    -59.60    7.88    211458.0
 2024 10 09 01 41 00 000    1.40     2.28     3.73  -449.70    -19.40    -59.60    7.88    211458.0
 2024 10 09 01 42 00 000    0.27     0.88     3.88  -449.70    -19.40    -59.60    7.88    211458.0
 2024 10 09 01 43 00 000    3.07     5.25     3.86  -451.50    -19.30    -65.80    7.94    236026.0
 2024 10 09 01 44 00 000    3.33     5.19     3.45  -451.90    -19.90    -65.50    7.93    234293.0
